Date,Hour,Station,Max Capacity,Crowd Level (%),Day of the Week,Holiday/Festival
2024-07-01,19,Aarey,1800,119.1111111,Monday,No
2024-07-01,20,Aarey,1800,69.72222222,Monday,No
2024-07-01,21,Aarey,1800,32.38888889,Monday,No
2024-07-01,22,Aarey,1800,13,Monday,No
2024-07-01,23,Aarey,1800,1.111111111,Monday,No
2024-07-01,5,Dindoshi,1800,0.222222222,Monday,No
2024-07-01,6,Dindoshi,1800,7.611111111,Monday,No
2024-07-01,7,Dindoshi,1800,14.61111111,Monday,No
2024-07-01,8,Dindoshi,1800,49.55555556,Monday,No
2024-07-01,9,Dindoshi,1800,87.27777778,Monday,No
2024-07-01,10,Dindoshi,1800,64.11111111,Monday,No
2024-07-01,11,Dindoshi,1800,34.72222222,Monday,No
2024-07-01,12,Dindoshi,1800,23.11111111,Monday,No
2024-07-01,13,Dindoshi,1800,25.44444444,Monday,No
2024-07-01,14,Dindoshi,1800,23.05555556,Monday,No
2024-07-01,15,Dindoshi,1800,22.88888889,Monday,No
2024-07-01,16,Dindoshi,1800,27.11111111,Monday,No
2024-07-01,17,Dindoshi,1800,38.05555556,Monday,No
2024-07-01,18,Dindoshi,1800,74.22222222,Monday,No
2024-07-01,19,Dindoshi,1800,95.66666667,Monday,No
2024-07-01,20,Dindoshi,1800,63.11111111,Monday,No
2024-07-01,21,Dindoshi,1800,30.44444444,Monday,No
2024-07-01,22,Dindoshi,1800,12.33333333,Monday,No
2024-07-01,23,Dindoshi,1800,1.5,Monday,No
2024-07-01,5,Kurar,1800,0.222222222,Monday,No
2024-07-01,6,Kurar,1800,7.5,Monday,No
2024-07-01,7,Kurar,1800,18.38888889,Monday,No
2024-07-01,8,Kurar,1800,57.66666667,Monday,No
2024-07-01,9,Kurar,1800,88.33333333,Monday,No
2024-07-01,10,Kurar,1800,47.05555556,Monday,No
2024-07-01,11,Kurar,1800,25.22222222,Monday,No
2024-07-01,12,Kurar,1800,19.16666667,Monday,No
2024-07-01,13,Kurar,1800,17.77777778,Monday,No
2024-07-01,14,Kurar,1800,18.66666667,Monday,No
2024-07-01,15,Kurar,1800,15.66666667,Monday,No
2024-07-01,16,Kurar,1800,18.66666667,Monday,No
2024-07-01,17,Kurar,1800,25.22222222,Monday,No
2024-07-01,18,Kurar,1800,60.88888889,Monday,No
2024-07-01,19,Kurar,1800,84.38888889,Monday,No
2024-07-01,20,Kurar,1800,66.66666667,Monday,No
2024-07-01,21,Kurar,1800,32.22222222,Monday,No
2024-07-01,22,Kurar,1800,13.77777778,Monday,No
2024-07-01,23,Kurar,1800,1.111111111,Monday,No
2024-07-01,5,Akurli,1800,0.111111111,Monday,No
2024-07-01,6,Akurli,1800,4.5,Monday,No
2024-07-01,7,Akurli,1800,16.94444444,Monday,No
2024-07-01,8,Akurli,1800,52,Monday,No
2024-07-01,9,Akurli,1800,72.83333333,Monday,No
2024-07-01,10,Akurli,1800,40.83333333,Monday,No
2024-07-01,11,Akurli,1800,23.05555556,Monday,No
2024-07-01,12,Akurli,1800,15.66666667,Monday,No
2024-07-01,13,Akurli,1800,14.77777778,Monday,No
2024-07-01,14,Akurli,1800,12.88888889,Monday,No
2024-07-01,15,Akurli,1800,2.555555556,Monday,No
2024-07-01,16,Akurli,1800,14.88888889,Monday,No
2024-07-01,17,Akurli,1800,28.27777778,Monday,No
2024-07-01,18,Akurli,1800,57.61111111,Monday,No
2024-07-01,19,Akurli,1800,75.77777778,Monday,No
2024-07-01,20,Akurli,1800,61.55555556,Monday,No
2024-07-01,21,Akurli,1800,33.5,Monday,No
2024-07-01,22,Akurli,1800,15.05555556,Monday,No
2024-07-01,23,Akurli,1800,1.333333333,Monday,No
2024-07-01,5,Poisar,1800,0.277777778,Monday,No
2024-07-01,6,Poisar,1800,13.83333333,Monday,No
2024-07-01,7,Poisar,1800,19.27777778,Monday,No
2024-07-01,8,Poisar,1800,39.83333333,Monday,No
2024-07-01,9,Poisar,1800,59.38888889,Monday,No
2024-07-01,10,Poisar,1800,42.66666667,Monday,No
2024-07-01,11,Poisar,1800,31.44444444,Monday,No
2024-07-01,12,Poisar,1800,34.77777778,Monday,No
2024-07-01,13,Poisar,1800,25.16666667,Monday,No
2024-07-01,14,Poisar,1800,22.05555556,Monday,No
2024-07-01,15,Poisar,1800,23.33333333,Monday,No
2024-07-01,16,Poisar,1800,25.27777778,Monday,No
2024-07-01,17,Poisar,1800,32.5,Monday,No
2024-07-01,18,Poisar,1800,55.66666667,Monday,No
2024-07-01,19,Poisar,1800,59.55555556,Monday,No
2024-07-01,20,Poisar,1800,50.94444444,Monday,No
2024-07-01,21,Poisar,1800,26.27777778,Monday,No
2024-07-01,22,Poisar,1800,11.88888889,Monday,No
2024-07-01,23,Poisar,1800,1.944444444,Monday,No
2024-07-01,5,Magathane,1800,0.388888889,Monday,No
2024-07-01,6,Magathane,1800,11.38888889,Monday,No
2024-07-01,7,Magathane,1800,47.55555556,Monday,No
2024-07-01,8,Magathane,1800,87.77777778,Monday,No
2024-07-01,9,Magathane,1800,122.4444444,Monday,No
2024-07-01,10,Magathane,1800,93.05555556,Monday,No
2024-07-01,11,Magathane,1800,56.16666667,Monday,No
2024-07-01,12,Magathane,1800,44.55555556,Monday,No
2024-07-01,13,Magathane,1800,42.22222222,Monday,No
2024-07-01,14,Magathane,1800,42.11111111,Monday,No
2024-07-01,15,Magathane,1800,35,Monday,No
2024-07-01,16,Magathane,1800,38.33333333,Monday,No
2024-07-01,17,Magathane,1800,57.88888889,Monday,No
2024-07-01,18,Magathane,1800,108.8888889,Monday,No
2024-07-01,19,Magathane,1800,129.8333333,Monday,No
2024-07-01,20,Magathane,1800,96.72222222,Monday,No
2024-07-01,21,Magathane,1800,50.33333333,Monday,No
2024-07-01,22,Magathane,1800,21.44444444,Monday,No
2024-07-01,23,Magathane,1800,3.055555556,Monday,No
2024-07-01,5,Devipada,1800,0.166666667,Monday,No
2024-07-01,6,Devipada,1800,2.777777778,Monday,No
2024-07-01,7,Devipada,1800,7.555555556,Monday,No
2024-07-01,8,Devipada,1800,24.77777778,Monday,No
2024-07-01,9,Devipada,1800,41.61111111,Monday,No
2024-07-01,10,Devipada,1800,25.83333333,Monday,No
2024-07-01,11,Devipada,1800,13.77777778,Monday,No
2024-07-01,12,Devipada,1800,11.11111111,Monday,No
2024-07-01,13,Devipada,1800,9.888888889,Monday,No
2024-07-01,14,Devipada,1800,7.388888889,Monday,No
2024-07-01,15,Devipada,1800,8.888888889,Monday,No
2024-07-01,16,Devipada,1800,10.16666667,Monday,No
2024-07-01,17,Devipada,1800,15.27777778,Monday,No
2024-07-01,18,Devipada,1800,28.05555556,Monday,No
2024-07-01,19,Devipada,1800,37.05555556,Monday,No
2024-07-01,20,Devipada,1800,37.77777778,Monday,No
2024-07-01,21,Devipada,1800,18.44444444,Monday,No
2024-07-01,22,Devipada,1800,8.222222222,Monday,No
2024-07-01,23,Devipada,1800,0.555555556,Monday,No
2024-07-01,5,Rashtriya Udyan,1800,0.444444444,Monday,No
2024-07-01,6,Rashtriya Udyan,1800,3.222222222,Monday,No
2024-07-01,7,Rashtriya Udyan,1800,13.5,Monday,No
2024-07-01,8,Rashtriya Udyan,1800,32.61111111,Monday,No
2024-07-01,9,Rashtriya Udyan,1800,45.38888889,Monday,No
2024-07-01,10,Rashtriya Udyan,1800,27.72222222,Monday,No
2024-07-01,11,Rashtriya Udyan,1800,17.94444444,Monday,No
2024-07-01,12,Rashtriya Udyan,1800,16.33333333,Monday,No
2024-07-01,13,Rashtriya Udyan,1800,13.88888889,Monday,No
2024-07-01,14,Rashtriya Udyan,1800,11,Monday,No
2024-07-01,15,Rashtriya Udyan,1800,9.944444444,Monday,No
